day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,timestamp,2023-06-15 06:00:00,,timestamp ,Thu 15th Jun,Thu,15th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Thu,15th,Jun
0,Feels Like Temperature,13,C, Feels ,13°C,Thu,15th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Thu,15th,Jun
0,Screen Relative Humidity,90,%,Humidity,90 %,Thu,15th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Thu,15th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Thu,15th,Jun
0,Temperature,14,C, Temp,14°C,Thu,15th,Jun
0,Visibility,MO,,Visibility ,MO ,Thu,15th,Jun
0,Weather Type,1,,Weather Type ,1 ,Thu,15th,Jun
0,Max UV Index,1,,Max UV,1 ,Thu,15th,Jun
0,timestamp,2023-06-15 09:00:00,,timestamp ,Thu 15th Jun,Thu,15th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Thu,15th,Jun
0,Feels Like Temperature,18,C, Feels ,18°C,Thu,15th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Thu,15th,Jun
0,Screen Relative Humidity,60,%,Humidity,60 %,Thu,15th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Thu,15th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Thu,15th,Jun
0,Temperature,20,C, Temp,20°C,Thu,15th,Jun
0,Visibility,MO,,Visibility ,MO ,Thu,15th,Jun
0,Weather Type,1,,Weather Type ,1 ,Thu,15th,Jun
0,Max UV Index,5,,Max UV,5 ,Thu,15th,Jun
0,timestamp,2023-06-15 12:00:00,,timestamp ,Thu 15th Jun,Thu,15th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Thu,15th,Jun
0,Feels Like Temperature,22,C, Feels ,22°C,Thu,15th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Thu,15th,Jun
0,Screen Relative Humidity,42,%,Humidity,42 %,Thu,15th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Thu,15th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Thu,15th,Jun
0,Temperature,24,C, Temp,24°C,Thu,15th,Jun
0,Visibility,GO,,Visibility ,GO ,Thu,15th,Jun
0,Weather Type,1,,Weather Type ,1 ,Thu,15th,Jun
0,Max UV Index,8,,Max UV,8 ,Thu,15th,Jun
0,timestamp,2023-06-15 15:00:00,,timestamp ,Thu 15th Jun,Thu,15th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Thu,15th,Jun
0,Feels Like Temperature,24,C, Feels ,24°C,Thu,15th,Jun
0,Wind Gust,9,mph,Wind Gust,9 mph,Thu,15th,Jun
0,Screen Relative Humidity,34,%,Humidity,34 %,Thu,15th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Thu,15th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Thu,15th,Jun
0,Temperature,25,C, Temp,25°C,Thu,15th,Jun
0,Visibility,GO,,Visibility ,GO ,Thu,15th,Jun
0,Weather Type,1,,Weather Type ,1 ,Thu,15th,Jun
0,Max UV Index,5,,Max UV,5 ,Thu,15th,Jun
0,timestamp,2023-06-15 18:00:00,,timestamp ,Thu 15th Jun,Thu,15th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Thu,15th,Jun
0,Feels Like Temperature,24,C, Feels ,24°C,Thu,15th,Jun
0,Wind Gust,9,mph,Wind Gust,9 mph,Thu,15th,Jun
0,Screen Relative Humidity,32,%,Humidity,32 %,Thu,15th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Thu,15th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Thu,15th,Jun
0,Temperature,25,C, Temp,25°C,Thu,15th,Jun
0,Visibility,VG,,Visibility ,VG ,Thu,15th,Jun
0,Weather Type,1,,Weather Type ,1 ,Thu,15th,Jun
0,Max UV Index,1,,Max UV,1 ,Thu,15th,Jun
0,timestamp,2023-06-15 21:00:00,,timestamp ,Thu 15th Jun,Thu,15th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Thu,15th,Jun
0,Feels Like Temperature,18,C, Feels ,18°C,Thu,15th,Jun
0,Wind Gust,20,mph,Wind Gust,20 mph,Thu,15th,Jun
0,Screen Relative Humidity,57,%,Humidity,57 %,Thu,15th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Thu,15th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Thu,15th,Jun
0,Temperature,20,C, Temp,20°C,Thu,15th,Jun
0,Visibility,VG,,Visibility ,VG ,Thu,15th,Jun
0,Weather Type,0,,Weather Type ,0 ,Thu,15th,Jun
0,Max UV Index,0,,Max UV,0 ,Thu,15th,Jun
0,timestamp,2023-06-16 00:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Fri,16th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Fri,16th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Fri,16th,Jun
0,Screen Relative Humidity,65,%,Humidity,65 %,Fri,16th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,16th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Fri,16th,Jun
0,Temperature,17,C, Temp,17°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,0,,Weather Type ,0 ,Fri,16th,Jun
0,Max UV Index,0,,Max UV,0 ,Fri,16th,Jun
0,timestamp,2023-06-16 03:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Fri,16th,Jun
0,Feels Like Temperature,14,C, Feels ,14°C,Fri,16th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Fri,16th,Jun
0,Screen Relative Humidity,76,%,Humidity,76 %,Fri,16th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,16th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Fri,16th,Jun
0,Temperature,14,C, Temp,14°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,0,,Weather Type ,0 ,Fri,16th,Jun
0,Max UV Index,0,,Max UV,0 ,Fri,16th,Jun
0,timestamp,2023-06-16 06:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Fri,16th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Fri,16th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Fri,16th,Jun
0,Screen Relative Humidity,70,%,Humidity,70 %,Fri,16th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,16th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Fri,16th,Jun
0,Temperature,16,C, Temp,16°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,1,,Weather Type ,1 ,Fri,16th,Jun
0,Max UV Index,1,,Max UV,1 ,Fri,16th,Jun
0,timestamp,2023-06-16 09:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Fri,16th,Jun
0,Feels Like Temperature,19,C, Feels ,19°C,Fri,16th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Fri,16th,Jun
0,Screen Relative Humidity,48,%,Humidity,48 %,Fri,16th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,16th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Fri,16th,Jun
0,Temperature,21,C, Temp,21°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,1,,Weather Type ,1 ,Fri,16th,Jun
0,Max UV Index,5,,Max UV,5 ,Fri,16th,Jun
0,timestamp,2023-06-16 12:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Fri,16th,Jun
0,Feels Like Temperature,23,C, Feels ,23°C,Fri,16th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Fri,16th,Jun
0,Screen Relative Humidity,38,%,Humidity,38 %,Fri,16th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,16th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Fri,16th,Jun
0,Temperature,25,C, Temp,25°C,Fri,16th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,16th,Jun
0,Weather Type,1,,Weather Type ,1 ,Fri,16th,Jun
0,Max UV Index,7,,Max UV,7 ,Fri,16th,Jun
0,timestamp,2023-06-16 15:00:00,,timestamp ,Fri 16th Jun,Fri,16th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Fri,16th,Jun
0,Feels Like Temperature,24,C, Feels ,24°C,Fri,16th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Fri,16th,Jun
0,Screen Relative Humidity,34,%,Humidity,34 %,Fri,16th,Jun
0,Precipitation Probability,4,%,Rain ,4 %,Fri,16th,Jun
