Wind Direction,Feels Like Temperature,Wind Gust,Screen Relative Humidity,Precipitation Probability,Wind Speed,Temperature,Visibility,Weather Type,Max UV Index,daynight,datetime
ESE,16,7,92,7,4,16,MO,3,3,,2023-09-06 09:00:00
SSE,25,4,61,0,2,24,MO,1,5,,2023-09-06 12:00:00
SSE,28,4,53,0,2,26,GO,1,2,,2023-09-06 15:00:00
E,27,4,65,0,2,26,GO,1,1,,2023-09-06 18:00:00
ENE,23,11,78,0,4,22,MO,2,0,,2023-09-06 21:00:00
NE,22,11,83,5,4,21,MO,7,0,,2023-09-07 00:00:00
NE,20,11,86,3,4,19,MO,7,0,,2023-09-07 03:00:00
ENE,19,16,86,3,7,19,MO,7,1,,2023-09-07 06:00:00
ENE,22,11,67,1,7,22,GO,1,3,,2023-09-07 09:00:00
E,26,11,60,4,7,26,VG,7,5,,2023-09-07 12:00:00
E,28,11,55,3,7,27,VG,7,2,,2023-09-07 15:00:00
ENE,26,9,68,4,4,25,GO,7,1,,2023-09-07 18:00:00
NE,22,16,78,3,7,21,GO,7,0,,2023-09-07 21:00:00
ENE,19,11,87,3,4,19,GO,7,0,,2023-09-08 00:00:00
ENE,18,9,91,3,4,17,GO,7,0,,2023-09-08 03:00:00
ESE,18,7,95,12,2,17,PO,5,1,,2023-09-08 06:00:00
SE,22,7,81,0,2,21,GO,3,3,,2023-09-08 09:00:00
S,28,7,64,0,2,26,VG,3,5,,2023-09-08 12:00:00
SSW,29,7,58,4,2,27,VG,7,2,,2023-09-08 15:00:00
NNE,26,7,77,3,4,24,VG,7,1,,2023-09-08 18:00:00
NE,22,7,87,1,4,21,VG,0,0,,2023-09-08 21:00:00
NE,20,7,92,1,4,19,GO,0,0,,2023-09-09 00:00:00
ENE,19,4,94,2,2,18,GO,0,0,,2023-09-09 03:00:00
SSW,18,7,96,2,4,17,GO,1,1,,2023-09-09 06:00:00
SW,25,9,82,2,2,23,VG,1,3,,2023-09-09 09:00:00
S,28,11,63,1,4,27,VG,1,5,,2023-09-09 12:00:00
SSW,29,13,56,2,4,28,VG,1,2,,2023-09-09 15:00:00
SSW,27,7,74,3,4,25,VG,1,1,,2023-09-09 18:00:00
NNE,23,7,81,2,4,22,VG,0,0,,2023-09-09 21:00:00
WSW,21,11,83,3,7,20,VG,0,0,,2023-09-10 00:00:00
WNW,19,9,88,5,4,19,VG,0,0,,2023-09-10 03:00:00
SSW,18,9,93,5,4,18,GO,1,1,,2023-09-10 06:00:00
SE,23,11,81,7,4,22,VG,3,3,,2023-09-10 09:00:00
SSE,26,13,66,5,7,26,VG,3,4,,2023-09-10 12:00:00
SSE,27,16,62,9,7,26,VG,3,2,,2023-09-10 15:00:00
S,25,11,73,9,4,24,VG,7,1,,2023-09-10 18:00:00
SW,21,11,84,8,7,21,VG,7,0,,2023-09-10 21:00:00
