day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,timestamp,2023-06-09 09:00:00,,timestamp ,Fri 9th Jun,Fri,9th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Fri,9th,Jun
0,Feels Like Temperature,12,C, Feels ,12°C,Fri,9th,Jun
0,Wind Gust,22,mph,Wind Gust,22 mph,Fri,9th,Jun
0,Screen Relative Humidity,64,%,Humidity,64 %,Fri,9th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,9th,Jun
0,Wind Speed,13,mph,Wind Speed ,13 mph,Fri,9th,Jun
0,Temperature,15,C, Temp,15°C,Fri,9th,Jun
0,Visibility,GO,,Visibility ,GO ,Fri,9th,Jun
0,Weather Type,1,,Weather Type ,1 ,Fri,9th,Jun
0,Max UV Index,5,,Max UV,5 ,Fri,9th,Jun
0,timestamp,2023-06-09 12:00:00,,timestamp ,Fri 9th Jun,Fri,9th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Fri,9th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Fri,9th,Jun
0,Wind Gust,22,mph,Wind Gust,22 mph,Fri,9th,Jun
0,Screen Relative Humidity,56,%,Humidity,56 %,Fri,9th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,9th,Jun
0,Wind Speed,16,mph,Wind Speed ,16 mph,Fri,9th,Jun
0,Temperature,19,C, Temp,19°C,Fri,9th,Jun
0,Visibility,GO,,Visibility ,GO ,Fri,9th,Jun
0,Weather Type,1,,Weather Type ,1 ,Fri,9th,Jun
0,Max UV Index,8,,Max UV,8 ,Fri,9th,Jun
0,timestamp,2023-06-09 15:00:00,,timestamp ,Fri 9th Jun,Fri,9th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Fri,9th,Jun
0,Feels Like Temperature,19,C, Feels ,19°C,Fri,9th,Jun
0,Wind Gust,25,mph,Wind Gust,25 mph,Fri,9th,Jun
0,Screen Relative Humidity,51,%,Humidity,51 %,Fri,9th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,9th,Jun
0,Wind Speed,16,mph,Wind Speed ,16 mph,Fri,9th,Jun
0,Temperature,22,C, Temp,22°C,Fri,9th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,9th,Jun
0,Weather Type,1,,Weather Type ,1 ,Fri,9th,Jun
0,Max UV Index,5,,Max UV,5 ,Fri,9th,Jun
0,timestamp,2023-06-09 18:00:00,,timestamp ,Fri 9th Jun,Fri,9th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Fri,9th,Jun
0,Feels Like Temperature,17,C, Feels ,17°C,Fri,9th,Jun
0,Wind Gust,22,mph,Wind Gust,22 mph,Fri,9th,Jun
0,Screen Relative Humidity,60,%,Humidity,60 %,Fri,9th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,9th,Jun
0,Wind Speed,13,mph,Wind Speed ,13 mph,Fri,9th,Jun
0,Temperature,20,C, Temp,20°C,Fri,9th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,9th,Jun
0,Weather Type,1,,Weather Type ,1 ,Fri,9th,Jun
0,Max UV Index,1,,Max UV,1 ,Fri,9th,Jun
0,timestamp,2023-06-09 21:00:00,,timestamp ,Fri 9th Jun,Fri,9th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Fri,9th,Jun
0,Feels Like Temperature,13,C, Feels ,13°C,Fri,9th,Jun
0,Wind Gust,22,mph,Wind Gust,22 mph,Fri,9th,Jun
0,Screen Relative Humidity,74,%,Humidity,74 %,Fri,9th,Jun
0,Precipitation Probability,0,%,Rain ,0 %,Fri,9th,Jun
0,Wind Speed,11,mph,Wind Speed ,11 mph,Fri,9th,Jun
0,Temperature,15,C, Temp,15°C,Fri,9th,Jun
0,Visibility,VG,,Visibility ,VG ,Fri,9th,Jun
0,Weather Type,0,,Weather Type ,0 ,Fri,9th,Jun
0,Max UV Index,0,,Max UV,0 ,Fri,9th,Jun
0,timestamp,2023-06-10 00:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Sat,10th,Jun
0,Feels Like Temperature,10,C, Feels ,10°C,Sat,10th,Jun
0,Wind Gust,20,mph,Wind Gust,20 mph,Sat,10th,Jun
0,Screen Relative Humidity,87,%,Humidity,87 %,Sat,10th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Sat,10th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Sat,10th,Jun
0,Temperature,12,C, Temp,12°C,Sat,10th,Jun
0,Visibility,GO,,Visibility ,GO ,Sat,10th,Jun
0,Weather Type,0,,Weather Type ,0 ,Sat,10th,Jun
0,Max UV Index,0,,Max UV,0 ,Sat,10th,Jun
0,timestamp,2023-06-10 03:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Sat,10th,Jun
0,Feels Like Temperature,9,C, Feels ,9°C,Sat,10th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Sat,10th,Jun
0,Screen Relative Humidity,90,%,Humidity,90 %,Sat,10th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Sat,10th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Sat,10th,Jun
0,Temperature,11,C, Temp,11°C,Sat,10th,Jun
0,Visibility,GO,,Visibility ,GO ,Sat,10th,Jun
0,Weather Type,2,,Weather Type ,2 ,Sat,10th,Jun
0,Max UV Index,0,,Max UV,0 ,Sat,10th,Jun
0,timestamp,2023-06-10 06:00:00,,timestamp ,Sat 10th Jun,Sat,10th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Sat,10th,Jun
0,Feels Like Temperature,11,C, Feels ,11°C,Sat,10th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Sat,10th,Jun
0,Screen Relative Humidity,84,%,Humidity,84 %,Sat,10th,Jun
